Condition,Category,Vignette-Child (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Child (Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),,
"Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form",Change: presentation/management,"A 7-year-old boy presents to the emergency department with blisters and skin erosion over his entire body after a minor fall at school. He has a history of similar skin fragility since birth and has had multiple hospitalizations for skin infections. His parents are consanguineous, and he has two affected siblings. Physical examination reveals generalized blistering, skin erosion, and scarring alopecia. The patient is afebrile, but his white blood cell count is elevated. He has a history of respiratory problems and difficulty swallowing.
The most important clinical features for this patient are:
1. Generalized blistering and skin erosion
2. Skin fragility
3. Consanguinity of parents
4. Affected siblings
5. Respiratory problems
6. Difficulty swallowing
7. Elevated white blood cell count",1,0,0,0,1,1,"A 35-year-old male presents to the dermatology clinic with a long history of blistering and skin fragility. He has had recurrent blisters on his arms, legs, and trunk since childhood, which have increased in frequency and severity over time. The patient also reports painful skin cracks and erosions, especially after minor trauma or friction. He has tried various treatments, including topical corticosteroids and immune suppressants, but they have not provided sufficient relief. Physical examination reveals multiple large blisters and denuded areas on his limbs and torso, with signs of scarring and skin thickening. The patient's medical history includes several surgeries for skin lesions and contractures, as well as chronic pain management with opioids. Family history is unremarkable.
The most important clinical features in this scenario are:
1. Recurrent blistering and skin fragility since childhood
2. Painful skin cracks and erosions
3. Resistance to previous treatments
4. Multiple large blisters and denuded areas on the limbs and torso
5. Scarring and skin thickening
6. History of surgeries for skin lesions and contractures
7. Chronic pain management with opioids.",1,0,0,0,1,1,"A 3-year-old boy presents to the emergency department with his parents due to difficulty swallowing and pain while eating. He has a history of blisters on his hands and feet since birth, which have increased in number and size over time. The patient also complains of vision loss and has had recurrent respiratory infections. On examination, the patient has numerous blisters on his face, trunk, and extremities, with some open sores on his hands and feet. His oral cavity is narrow, and he has fusion of his tongue to the floor of his mouth. There are also signs of scarring alopecia on his scalp. The patient's vision is impaired due to corneal blistering, and he has difficulty swallowing due to esophageal stricture. He is malnourished and has growth restriction. The patient is diagnosed with Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form. Important clinical features include blisters on the skin and mucous membranes, scarring alopecia, esophageal stricture, growth restriction, and vision loss due to corneal blistering. The patient is at high risk of developing aggressive squamous cell carcinoma in the future.",1,1,0,1,2,2,"A 35-year-old woman with autosomal recessive generalized dystrophic epidermolysis bullosa (RDEB), severe form, presents to the dermatology clinic for follow-up. She has a history of blistering and scarring on her skin since birth, which has progressed to pseudosyndactyly and mitten deformities of her hands and feet. She also experiences difficulty swallowing due to esophageal strictures and has had multiple dental caries. Despite using various treatments, she has persistent blistering and scarring on her skin, and her eye involvement has led to vision loss. The patient is malnourished and has a history of refractory anemia, iron deficiency, and hypoalbuminemia. She has also developed squamous cell carcinoma (SCC) multiple times, which have been surgically removed. The most important clinical features in this case include: blistering and scarring on the skin, pseudosyndactyly and mitten deformities, esophageal strictures, dental caries, eye involvement, malnutrition, anemia, iron deficiency, hypoalbuminemia, and history of SCC.",1,1,0,1,2,2,,
Gaucher disease,No change,"A 7-year-old boy presents to the pediatrician's office with a 6-month history of fatigue, weakness, and easy bruising. He has also experienced bone pain and has had recurrent nosebleeds. On physical examination, he has an enlarged spleen and liver, and his skin is pale and yellowish (icteric). Laboratory tests reveal anemia, thrombocytopenia, and elevated liver enzymes. A diagnosis of Gaucher disease is suspected, and further testing confirms the presence of the disease-causing mutation in the glucocerebrosidase gene.",1,1,1,1,2,3,"A 35-year-old man presents to his primary care physician with a 6-month history of fatigue, weakness, and easy bruising. He also reports bone pain in his legs and ribs. On physical examination, he has a prominent spleen and liver, and his skin is yellowish (jaundiced). Laboratory tests reveal anemia, thrombocytopenia, and elevated liver enzymes. A diagnosis of Gaucher disease is suspected, and genetic testing confirms the presence of a mutation in the glucocerebrosidase gene.",1,1,1,1,2,3,"Patient: A 4-year-old boy presents to the clinic with a history of bone pain, fatigue, and easy bruising. He also reports difficulty walking due to weakness and has noticed an increasing number of bruises on his body over the past year. The patient's physical examination reveals pallor, splenomegaly, and multiple bruises on his arms and legs. Laboratory tests show anemia, thrombocytopenia, and elevated liver enzymes. Imaging studies demonstrate bone lesions consistent with Gaucher disease. The patient is diagnosed with type 1 Gaucher disease and starts treatment with enzyme replacement therapy.",1,1,1,1,2,3,"Patient: A 35-year-old male presents to the clinic with a history of bone pain and weakness. He also reports fatigue, easy bruising, and recurrent infections. Physical examination reveals an enlarged spleen, liver, and lymph nodes. The patient has a history of osteoporosis and has experienced multiple pathological fractures. Family history is positive for Gaucher disease. Laboratory results show anemia, thrombocytopenia, and low levels of platelets. A bone marrow biopsy confirms the diagnosis of Gaucher disease type 1. The patient starts enzyme replacement therapy and experiences significant improvement in symptoms within six months.",1,1,1,1,2,3,,
Syndromic recessive X-linked ichthyosis,Change: presentation/management,"A 3-year-old boy presents to the pediatrician's office with his mother, who is concerned about his dry, scaly skin and thickened skin on his arms and legs. The child has a history of delayed milestones and has been experiencing recurrent respiratory infections. On examination, the child has a distinctive fish scale appearance to his skin, with large, dark brown scales covering his limbs and trunk. His skin is also extremely dry and rough to the touch. The child's developmental delays are significant, as he is still not speaking in full sentences and has difficulty walking independently.
The most important clinical features of this patient vignette are:

* Dry, scaly skin with a fish scale appearance
* Thickened skin on the arms and legs
* Delayed milestones
* Recurrent respiratory infections
* Developmental delays.",1,0,0,0,1,1,"A 35-year-old man presents to the dermatology clinic with a lifelong history of dry, scaly skin and thickened skin on his palms and soles. He has a family history of similar skin symptoms in his mother and maternal grandfather. On examination, he has marked ichthyosis with large scales on his arms, legs, and trunk. His skin is also hyperpigmented and has a characteristic ""fish scale"" appearance. The patient has a history of recurrent skin infections and has tried various treatments without much improvement.",0,0,1,0,0,1,"A 4-year-old boy is brought to the pediatrician's office by his mother due to concerns about his skin and behavior. The patient has had progressively worsening scaling of his skin since birth, with thickened, darkened skin on his lower extremities, particularly around his ankles and knees. He also has a history of attention-deficit and hyperactivity disorder (ADHD) and has been experiencing difficulty in school due to his inability to focus. The patient's mother reports that he has had several episodes of seizures over the past year, which have been controlled with medication. On physical examination, the patient has a short stature and cryptorchidism. His skin is dry and scaly, with prominent scales on his lower extremities. The patient's eyes are also noted to have a cloudy appearance. Further workup reveals intellectual disability and corneal opacity. Genetic testing confirms the diagnosis of syndromic recessive X-linked ichthyosis.",1,1,1,1,2,3,"A 35-year-old male presents to the dermatology clinic with a lifelong history of dry, scaly skin that worsens in the winter months. He also reports difficulty paying attention and staying focused, which has affected his ability to maintain employment. On examination, the patient has generalized scaling of the skin, more pronounced on the extensor surfaces of his lower extremities. His eyes show signs of corneal opacity. The patient's medical history includes a diagnosis of ADHD and cryptorchidism. Further questioning reveals that he has a family history of similar skin symptoms in his maternal relatives, and his mother had a history of miscarriages. The patient's karyotype reveals a 46, X, t(X;Y)(p22.1;p11.2) translocation.",1,1,1,1,2,3,,
Cornelia de Lange syndrome,No change,"A 4-year-old boy named Max presents to the pediatrician's office for a routine well-child visit. His parents are concerned about his short stature and delayed speech development. On examination, the provider notes that Max has a distinctive facial appearance with a small head, thin upper lip, and widely spaced eyes. He also has short limbs and a delay in fine motor skills. The patient's height is below the 10th percentile for his age, and he has difficulty articulating words clearly. Max's genetic testing reveals a mutation in the NIPBL gene, confirming the diagnosis of Cornelia de Lange syndrome.",0,0,1,0,0,1,"A 35-year-old woman named Sarah presents to the clinic with her caregiver. She has a diagnosis of Cornelia de Lange syndrome, a rare genetic disorder that affects growth and development. Sarah has short stature, measuring only 4 feet 8 inches tall, and has distinctive facial features including a small head, narrow eyes, and a flat nose bridge. She also has intellectual disability and is nonverbal, communicating primarily through gestures and facial expressions. Sarah's caregiver reports that she has difficulty with self-care tasks such as dressing and grooming, and often exhibits aggressive behavior when frustrated or upset. The caregiver also mentions that Sarah has a history of seizures and has been taking anticonvulsant medication for several years.",1,0,1,0,1,2,"A 4-year-old boy named Max presents to the clinic with his parents due to concerns regarding his growth and development. Max was born at 37 weeks gestation and had a birth weight of 2.5 kg (50th percentile). Since then, his growth has been consistently below the 5th centile, with a current height of 80 cm (<5th centile) and weight of 12 kg (<5th centile). Max's parents also notice that he has difficulty feeding himself and often seems hungry despite eating frequently. They report that he has been diagnosed with failure to thrive. On examination, the provider notes that Max has distinctive facial features, including a prominent forehead, long eyelashes, and a short nose with anteverted nares. His head circumference is 48 cm (<5th centile). The provider also observes mild hypertrichosis and notices that Max's hands are small and his fingers are short and widely spaced. Additionally, the provider hears a heart murmur and notices that Max has a thin upper lip and downturned corners of his mouth. The provider orders further diagnostic testing to confirm the diagnosis of Cornelia de Lange syndrome and recommends referrals to various specialists to address Max's feeding and growth issues",0,1,0,0,1,1,"Ms. A is a 35-year-old woman with Cornelia de Lange syndrome who presents to the clinic for a routine follow-up appointment. She has a history of intellectual disability, autism spectrum disorder, and global developmental delay. Ms. A has distinctive facial features consistent with CdLS, including synophrys, highly arched eyebrows, long eyelashes, short nasal bridge, small teeth, and microcephaly. She is 4 feet 8 inches tall and weighs 90 pounds, placing her at the 5th percentile for height and weight. Ms. A has a history of gastrointestinal dysfunction, including reflux and constipation, and has been diagnosed with a cardiac septal defect. She has also experienced hearing loss and has been fitted with hearing aids. Ms. A's cognitive function is mildly impaired, and she has difficulty with verbal communication and social interactions. She exhibits self-destructive behaviors and has a history of anxiety and shyness. Her family reports that she has difficulty with changes in her routine and exhibits obsessive-compulsive tendencies. Ms. A's physical examination reveals a thin upper lip, downturned corners of the mouth",1,1,1,1,2,3,,
Diastrophic dysplasia,No change,"A 4-year-old boy, John, presents to the clinic with short stature and joint pain. He has a history of frequent respiratory infections and has been using a nebulizer regularly for wheezing. On examination, he has short limbs, a small torso, and limited mobility in his elbows and knees. His fingers are short and claw-like, and he has a prominent forehead and a flat nose bridge. John's legs are bowed, and his feet are turned inward. He is unable to walk independently and has difficulty standing without support.
The most important clinical features of this patient vignette are:
Short stature
Joint pain
Respiratory problems (frequent respiratory infections, wheezing)
Skeletal abnormalities (short limbs, small torso, bowed legs, clubfoot)
Facial abnormalities (prominent forehead, flat nose bridge)
Limited mobility in elbows and knees
Inability to walk independently
These clinical features are consistent with Diastrophic dysplasia, a rare genetic disorder that affects the development of cartilage and bone, leading to short stature, joint pain, and skeletal abnormalities.",0,1,0,0,1,1,"A 35-year-old woman presents to the clinic with short stature (140 cm) and short limbs, particularly in her upper extremities. She has a history of joint pain and stiffness, especially in her elbows and knees, which has worsened over time. On examination, she has limited range of motion in her joints, with mild swelling and erythema over the metacarpophalangeal and metatarsophalangeal joints. Her hands and feet are small, with short fingers and toes. She also reports recurrent respiratory infections and has a history of hearing loss. The patient's parents were first cousins, and her siblings have similar symptoms.",1,1,1,1,2,3,"A 4-year-old boy presents to the clinic with short stature and limb deformities. On examination, he has short arms and legs, with his wrists and ankles being particularly affected. His thumbs are abducted and his fingers have ulnar deviation. He also has a gap between his first and second toes. The patient walks with a waddling gait and has difficulty standing up from a seated position. His spine is curved, with scoliosis and kyphosis evident on examination. The patient's intelligence appears normal, but he has difficulty speaking clearly due to a cleft palate. He also has ear cysts and clubfoot deformities. The patient's parents report that his growth has been slow since birth and that he has had recurring respiratory infections. The patient is diagnosed with Diastrophic dysplasia (DTD), a rare genetic disorder that affects the development of cartilage and bone, leading to short stature, joint deformities, and other characteristic physical features.",0,1,1,0,1,2,"Ms. Smith is a 35-year-old woman who presents to our office with a long history of joint pain and limited mobility. She was born with clubfoot and has had multiple surgeries throughout her life to correct the deformity. She also has short stature, with a height of only 4 feet 6 inches, and her thumbs are abducted and have a hitchhiker appearance. Ms. Smith has difficulty walking due to scoliosis and spinal deformities, and she experiences chronic pain in her knees and hips. She also notices that her fingers are deviated towards the ulnar side. Despite her physical limitations, Ms. Smith is intelligent and active, working as a successful graphic designer. On examination, we note that her joints are swollen and have limited range of motion. Imaging studies reveal advanced osteoarthritis in her knees and hips, consistent with the degenerative changes seen in Diastrophic dysplasia. We diagnose Ms. Smith with this condition and recommend a comprehensive treatment plan to manage her symptoms and improve her quality of life.",1,1,1,1,2,3,,
Incontinentia pigmenti,Change in presentation related to age,"A 3-year-old girl presents to the pediatrician's office with her mother, who is concerned about her daughter's skin rash and blistering. The child has had recurrent episodes of fever and skin lesions since she was 6 months old. Physical examination reveals scattered, small, blister-like lesions on the face, arms, and legs. Some of the lesions are crusted over, while others appear fresh. There is also mild scaling and redness around the hairline. The child's developmental milestones are appropriate for her age, and she has no known allergies or medical conditions.
Important clinical features:

* Recurrent episodes of fever and skin lesions since infancy
* Blister-like lesions on the face, arms, and legs
* Mild scaling and redness around the hairline
* No known allergies or medical conditions
* Developmental milestones appropriate for age",1,0,0,0,1,1,"A 27-year-old woman presents to the dermatology clinic with a lifelong history of skin lesions that have been gradually increasing in number and size. She has a family history of similar skin lesions in her mother and maternal grandfather. On examination, there are numerous small, hypopigmented macules on her face, arms, and legs, as well as a few larger, hyperpigmented patches on her trunk and extremities. Some of the lesions have a characteristic swirling or whorled pattern. The patient also reports frequent skin infections and easy bruising.
The most important clinical features of this patient's presentation are:

1. Family history of similar skin lesions
2. Hypopigmented macules and hyperpigmented patches on the skin
3. Swirling or whorled pattern in some lesions
4. Frequent skin infections
5. Easy bruising.",0,0,0,0,0,0,"Patient: 3-year-old girl, brought to the clinic by her mother due to concerns about her skin and teeth.

Vignette: The patient has had a history of recurrent blistering rashes since birth, which have evolved into wart-like lesions on her face and body. She also has noticeable hair loss and malformed teeth. Her mother reports that the patient has experienced developmental delays and has been experiencing seizures. The patient's vision is also affected, with neovascularization of the retina and risk of retinal detachment.",0,1,1,0,1,2,"Patient: A 35-year-old woman presents to the dermatology clinic with a lifelong history of skin problems. She has had recurring episodes of blistering and rashes on her skin, particularly on her extremities, since birth. The rashes have evolved over time and have become more hyperpigmented and swirled in pattern. She also reports having missing teeth and abnormal tooth shape. Her vision has been affected, with recurring retinal detachment and neovascularization. She experiences seizures and intellectual disability. Physical examination reveals characteristic skin lesions, including linear hypopigmentation and swirling macular hyperpigmentation on her trunk and head. Alopecia and dystrophic nails are also noted. Ophthalmologic evaluation confirms the presence of retinal neovascularization. Neurological examination reveals mild intellectual disability and developmental delays.",1,1,1,1,2,3,,
Orofaciodigital syndrome type 1,Change: presentation/management,"A 3-year-old boy presents to the pediatrician's office with his mother, who is concerned about her son's developmental delays and unusual physical features. The child has a distinctive facial appearance, with a flat nasal bridge, thin upper lip, and small jaw. He also has short stature, delayed speech, and difficulty walking. The mother reports that her son has been experiencing frequent ear infections and respiratory problems. The child's developmental delays and unusual physical features are concerning for Orofaciodigital syndrome type 1.",0,0,1,0,0,1,"Orofaciodigital syndrome type 1 is a rare genetic disorder characterized by malformations of the face, mouth, and limbs. Our patient, a 35-year-old woman, presents with a distinctive facial appearance, including a flat nasal bridge, thin upper lip, and a small jaw. She has difficulty speaking and eating due to a narrow palate and dental crowding. Her hands and feet are also affected, with short fingers and toes, and a single crease across her palmar surface. She experiences frequent respiratory infections and has a history of sleep apnea. The patient's intelligence is normal, but she has difficulty with social interactions and communication due to her physical limitations. Family history reveals a similar condition in her father and paternal grandfather, suggesting an autosomal dominant inheritance pattern. A genetic test confirms the diagnosis of Orofaciodigital syndrome type 1.",0,0,1,0,0,1,"Patient: Sarah, a 4-year-old girl, was brought to the clinic by her mother due to concerns about her development and facial appearance. The patient has a history of delayed speech and difficulty with feeding as an infant. On examination, the patient has a distinctive facial appearance with widely spaced eyes, a small nose, and a thin upper lip. She also has a lobed tongue and several small nodules on her tongue. Her fingers are short and webbed, and she has a duplicated great toe. The patient's developmental assessment reveals mild intellectual disability. Imaging studies show polycystic kidney disease and intracerebral cysts. The patient's mother reports that Sarah has difficulty with balance and coordination.",0,1,1,0,1,2,"Patient: A 35-year-old woman presents to the clinic for a routine checkup. She has a history of orofacialdigital syndrome type 1 (OFD1), a rare genetic disorder that affects the development of multiple systems in the body. The patient reports experiencing some difficulty with speech and swallowing, as well as occasional headaches. She also mentions that she has been having trouble with her vision and hearing lately. \n\nOn examination, the patient is noted to have a distinctive facial appearance, including widely spaced eyes, a small nose, and a thin upper lip. Her tongue is lobed and she has several small nodules on her tongue. She also has brachydactyly of her left hand and clinodactyly of her right foot. The patient's kidneys are enlarged, and an ultrasound reveals numerous cysts in both kidneys. A brain MRI shows intracerebral cysts and agenesis of the corpus callosum. The patient's intellectual function is mildly impaired, and she has difficulty with fine motor skills and coordination. \n\nThe most important clinical features of this patient's presentation include: \n\n* Distinctive facial appearance",0,1,1,0,1,2,,
EEC syndrome,No change,"A 3-year-old boy named Max presents to the emergency department with his mother due to a 2-day history of fever, vomiting, and decreased appetite. The mother mentions that Max has been having trouble swallowing and has had several episodes of choking on food and liquids. Max was previously healthy, but his mother reports that he has recently had a cold that has lasted for the past week. On examination, Max's temperature is 102°F (39°C), blood pressure is 90/60 mmHg, and tachycardia is present. His oropharynx is erythematous, and there are small ulcers on his tonsils. The rest of the examination is unremarkable.",0,0,1,0,0,1,"A 35-year-old woman presents to her primary care physician with a complaint of recurrent episodes of palpitations, shortness of breath, and anxiety over the past year. She has a history of migraines and allergies but no significant cardiovascular disease in her family. On examination, her blood pressure is 120/80 mmHg, heart rate is 100 beats per minute, and oxygen saturation is 98% on room air. The patient has a prominent forehead, a short nose, and a small jaw. She also has a mild intellectual disability and has been working in a sheltered workshop.
The most important clinical features of this scenario are:
1. Recurrent episodes of palpitations, shortness of breath, and anxiety.
2. Prominent forehead, short nose, and small jaw (features of EEC syndrome).
3. Mild intellectual disability.
4. No significant cardiovascular disease in the family.
5. Normal vital signs, including blood pressure, heart rate, and oxygen saturation.",0,0,0,0,0,0,"A 3-year-old boy presents to the clinic with his parents, who are concerned about their son's developmental delay and unusual physical appearance. The boy has difficulty speaking and walking, and his hands and feet appear misshapen. On examination, the patient is found to have ectrodactyly and syndactyly of the hands and feet, a cleft lip with a mild cleft palate, and dry, hypopigmented skin. His teeth are small and sparse, and he has nail dystrophy. The boy also has conductive hearing loss and choanal atresia. Further evaluation reveals growth hormone deficiency and delayed developmental milestones. Genetic testing confirms the diagnosis of EEC syndrome.",1,1,1,1,2,3,"A 35-year-old woman presents to the clinic with a history of lifelong skin problems, including dryness, hypopigmentation, and atrophy. She also reports difficulty breastfeeding her children due to nipple hypoplasia. On examination, she has ectrodactyly and syndactyly of her hands and feet, a cleft lip with a mild speech defect, fine and sparse hair, small teeth, and nail dystrophy. She also has a history of recurrent respiratory infections due to choanal atresia and hearing loss. Further evaluation reveals growth hormone deficiency, hypoplastic thymus, and delayed developmental milestones. Genetic testing confirms the diagnosis of EEC syndrome. The patient is referred for appropriate management and follow-up for her various symptoms, including speech therapy, orthodontic treatment, and consideration of growth hormone replacement therapy.",1,1,0,1,2,2,,
Ellis Van Creveld syndrome,No change,"A 3-year-old boy presents to the pediatrician's office with his mother due to concerns about his growth and development. He was born at 37 weeks gestation and had a birth weight of 2.5 kg. His mother reports that he has always been small for his age, but she has noticed that his growth rate has slowed down significantly over the past year. On examination, the child's height is below the 10th percentile, and he has a small head circumference. He also has a prominent forehead, widely spaced eyes, and a short nose bridge. His limbs are short and his hands are small with short fingers. The child is developmentally delayed and has difficulty walking independently. Genetic testing reveals that the child has Ellis Van Creveld syndrome, a rare genetic disorder caused by mutations in the EVC or EVC2 genes.
The most important clinical features of this patient with Ellis Van Creveld syndrome include:
- Short stature and small head circumference
- Distinctive facial features such as a prominent forehead, widely spaced eyes, and short nose bridge
- Short limbs and small hands with short fingers
- Developmental delay and difficulty walking independently
- Genetic testing that confirms the diagnosis of Ellis Van Creveld syndrome.",0,0,0,0,0,0,"A 35-year-old woman presents to her primary care physician with short stature, short limbs, and joint pain. She also has a history of congenital heart disease and has undergone multiple surgeries for this condition. On examination, she has a height of 4 feet 8 inches, and her arms and legs are shortened in proportion to her trunk. Her hands and feet are small, with short fingers and toes. She has mild joint pain and limited mobility in her wrists and ankles. The patient is otherwise healthy, with no history of respiratory or gastrointestinal problems. Family history is unremarkable.",1,0,1,0,1,2,"A 3-year-old boy, John, presents to the pediatrician's office for a routine check-up. His parents are concerned about his short stature and delayed speech development. On examination, the physician notes that John has postaxial polydactyly of both hands and feet, short limbs, and dystrophic nails. He also has a small head size and a prominent forehead. The physician hears a heart murmur and notices that John's chest is narrow and his rib cage is short. An echocardiogram confirms the presence of an atrial septal defect. Further radiographics show evidence of cone-shaped epiphyses of phalanges, small iliac crests, acetabular spur projections, and lateral slanting of the tibial plateau. John's developmental delay is also noted, and his speech is found to be delayed. The physician suspects Ellis-van Creveld syndrome and refers John to a geneticist for further evaluation and counseling.",0,1,1,0,1,2,"A 35-year-old woman presents to the office for a routine checkup. She has a history of short stature, postaxial polydactyly of the hands and feet, and dental and oral manifestations such as dystrophic and hypoplastic nails, and small teeth with abnormal shape and alignment. She also reports a history of congenital heart disease, specifically an atrial septal defect that was repaired surgically when she was a child. On physical examination, the patient's height is 4 feet 5 inches (134 cm), and her limbs are short in proportion to her trunk. Her hands and feet show postaxial polydactyly, and her nails are dystrophic and hypoplastic. Dental examination reveals small teeth with abnormal shape and alignment. The patient's chest X-ray shows a narrow thorax, shortening of long bones, and hexadactyly. An echocardiogram confirms the presence of an atrial septal defect. The patient is referred for genetic counseling to discuss her options for family planning and reproductive health.",1,1,1,1,2,3,,
Dentin dysplasia type I,No change,"A 7-year-old boy is brought to the pediatric dentist by his mother, who is concerned about the appearance of her son's teeth. The boy has a history of frequent cavities and delayed eruption of his permanent teeth. On examination, the dentist notes that the boy's teeth are small and have a peculiar shape, with a rough, pitted surface. Radiographs reveal a lack of dentin in the teeth, and the pulp chamber appears to be abnormally large. The dentist suspects Dentin dysplasia type I and refers the patient to a specialist for further evaluation and management.",0,0,1,0,0,1,"A 35-year-old woman presents to the dentist with a complaint of tooth sensitivity and pain in her lower front teeth. She has a history of poor oral hygiene and smoking. On examination, the dentist notes that her teeth appear small and misshapen, with a rough, pitted surface. Radiographs reveal a lack of dentin and an abnormal pulp chamber. The patient is diagnosed with Dentin dysplasia type I.",0,0,1,0,0,1,"A 7-year-old boy presents with a complaint of pain in his lower front teeth. He has a history of recurrent abscesses and premature loss of both primary and permanent teeth. Intraoral examination reveals mobility of the affected teeth, and radiographs show characteristic conical apical constrictions at the roots. The patient is diagnosed with dentin dysplasia type I.
The most important clinical features for this patient are:
- Mobility of the affected teeth
- Recurrent abscesses
- Premature loss of both primary and permanent teeth
- Characteristic conical apical constrictions on radiographs",1,1,0,1,2,2,"A 35-year-old woman presents with a complaint of swelling and pain in her lower left quadrant of the jaw that has been present for three days. She states that she has had recurring abscesses on multiple teeth over the past several years, most recently on the lower left second molar. Intraoral examination reveals a tender, swollen buccal vestibule with purulent drainage and a fistula on the distal aspect of tooth #18. Tooth #18 demonstrates grade III mobility. Radiographic examination shows a conical apical constriction of the roots of tooth #18, and evidence of prior abscess formation. The patient is diagnosed with dentin dysplasia type I and is referred for further management.",1,1,1,1,2,3,,
X-linked Emery-Dreifuss muscular dystrophy,Change in presentation related to age,"A 4-year-old boy presents to the clinic with progressive difficulty walking and standing. He has a history of developmental delay and has been using a wheelchair for mobility assistance over the past year. On examination, he has marked muscle wasting and weakness in his lower limbs, with a Gowers' sign (a characteristic way of pushing up from the floor using his hands to stand). He also has mild intellectual disability and seizures. Genetic testing reveals a mutation in the EMDF gene, confirming the diagnosis of X-linked Emery-Dreifuss muscular dystrophy.",0,0,1,0,0,1,"A 35-year-old man presents to the neurology clinic with progressive weakness and wasting of his limb muscles, particularly in his legs and pelvis. He also reports frequent falls and difficulty walking. On examination, he has a waddling gait, proximal muscle weakness, and marked muscle atrophy. His serum creatine kinase level is elevated. Genetic testing reveals a mutation in the EMDF gene, confirming the diagnosis of X-linked Emery-Dreifuss muscular dystrophy.",0,0,1,0,0,1,"Patient: John Age: 8 years Gender: Male\n\nChief Complaint:\""My son has been having trouble walking and doing his homework because of pain in his legs, especially when he tries to stand up from a seated position. He also complains of feeling tired easily and sometimes feels like his heart is racing or skipping beats.\""\n\nHistory of Present Illness: John is an 8-year-old male who presents with a 2-year history of progressive muscle weakness, joint contractures, and cardiac symptoms. He initially experienced difficulty walking due to tightness in his legs, particularly in the Achilles tendons, which has since worsened to limit his mobility. The patient also reports fatigue, palpitations, and presyncope. His condition has affected his ability to perform daily activities such as walking, running, and playing with friends. John's family history reveals that his maternal grandfather passed away suddenly at the age of 35 due to unknown causes, and his mother has been diagnosed with a cardiac condition. \n\nPhysical Examination: On examination, John displays limited mobility in his legs, particularly in the Achilles tendons, and exhibits joint contractures. Muscle strength assessment reveals a humeroperoneal distribution of weakness",0,1,1,0,1,2,"A 35-year-old male presents to the clinic with a history of progressive muscle weakness and wasting over the past decade, particularly in his shoulders, arms, and legs. He also reports experiencing frequent joint pain and stiffness, especially in his elbows and ankles. The patient has a history of cardiac arrhythmias and has experienced episodes of syncope and presyncope. On examination, he has limited range of motion in his joints, particularly in his Achilles tendons, and shows signs of muscle atrophy in his upper and lower limbs. His cardiac examination reveals a murmur and an irregular heart rhythm. The patient's family history is positive for X-linked Emery-Dreifuss muscular dystrophy, with several male relatives having similar symptoms. The most important clinical features in this case are the muscle weakness and wasting, joint contractures, cardiac arrhythmias, and positive family history, all of which are consistent with X-linked Emery-Dreifuss muscular dystrophy.",1,1,0,1,2,2,,
