Condition,Category,Vignette-Child (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3)
Smith-Lemli-Opitz syndrome,No change,"A 6-year-old male presents to the clinic with developmental delays, poor growth, and dysmorphic facial features. The child's parents report that he has difficulty feeding and has had recurrent ear infections. On physical examination, the child has microcephaly, a small chin, and a flattened nasal bridge. He also has syndactyly of the second and third toes. The child's laboratory workup shows low cholesterol levels and elevated 7-dehydrocholesterol levels, consistent with Smith-Lemli-Opitz syndrome. The child is referred to a geneticist for further evaluation and management of the disorder.",1,1,1,1,2,3,"Ms. Johnson, a 35-year-old woman with a history of developmental delay and intellectual disability, presents with complaints of chronic constipation, difficulty sleeping, and behavioral problems. On examination, she has dysmorphic facial features, including a small head circumference, widely spaced eyes, and a small chin. She also has syndactyly of her second and third toes and a short fourth finger. Laboratory testing reveals low levels of cholesterol and an increased ratio of 7-dehydrocholesterol to cholesterol, consistent with a diagnosis of Smith-Lemli-Opitz syndrome. Further evaluation is recommended to assess for potential complications, such as cataracts, cardiac anomalies, and liver dysfunction.",1,1,1,1,2,3
Trisomy 13,Only childhood,"A 2-month-old male infant is brought to the pediatrician's office by his parents for evaluation of multiple birth defects. The child was diagnosed with Trisomy 13 during prenatal testing. On physical examination, the infant is found to have cleft lip and palate, polydactyly, microcephaly, and coloboma of the iris. Additionally, the child has a heart murmur and hypotonia. The pediatrician suspects the child may also have hearing and vision impairments. The parents express concern about the child's prognosis and quality of life. Further genetic counseling and management are recommended.",0,0,1,0,0,1,"A 35-year-old woman with a history of Trisomy 13 presents to the clinic with complaints of difficulty breathing and feeding intolerance. She was born with a cleft lip and palate, and has had multiple surgeries in the past to correct them. On examination, she has a high-arched palate, microphthalmia, and polydactyly. She also has a heart murmur and is mildly hypotonic. Chest x-ray reveals a small heart with pulmonary hypoplasia. An echocardiogram shows a ventricular septal defect and patent ductus arteriosus. The patient is referred to a multidisciplinary team for further evaluation and management.",0,0,1,0,0,1
Thanatophoric dysplasia,Only childhood,"A newborn baby boy was born at 38 weeks gestation via cesarean section due to poor fetal growth. The baby was noted to have short limbs, a disproportionately large head, and a small chest. He also had a narrow chest and difficulty breathing. Imaging studies revealed severe narrowing of the rib cage and shortening of the long bones. Genetic testing confirmed a diagnosis of Thanatophoric dysplasia, a rare and severe form of skeletal dysplasia. The baby was monitored closely for respiratory distress and received supportive care, but unfortunately, he passed away shortly after birth due to complications related to his condition.",1,1,1,1,2,3,"A 28-year-old woman presents to the clinic with a history of multiple skeletal abnormalities and short stature. She reports a family history of similar symptoms, and her parents are first cousins. On physical examination, she is found to have short limbs, a narrow chest, and a prominent forehead. Imaging studies reveal severe skeletal dysplasia and a small chest cavity, which puts her at risk of respiratory distress. Genetic testing confirms a diagnosis of Thanatophoric dysplasia, a rare and lethal genetic disorder that affects bone development. The patient is referred to a genetic counselor and a palliative care specialist for further management.",0,0,1,0,0,1
Beckwith-Wiedemann syndrome,Change: presentation/management,"A 2-month-old male infant was referred to a pediatric geneticist for evaluation of macrosomia, macroglossia, and omphalocele. The patient's birth weight was 4.5 kg and his length was 57 cm. Physical examination revealed an enlarged tongue, a large omphalocele, and earlobe creases. The patient had no other significant medical history. A diagnosis of Beckwith-Wiedemann syndrome was made based on the patient's clinical presentation and genetic testing confirmed a paternal uniparental disomy of chromosome 11. The patient was closely monitored for the development of Wilms tumor, a common complication of Beckwith-Wiedemann syndrome.",1,1,1,1,2,3,"A 32-year-old male presents to the clinic with a history of Beckwith-Wiedemann syndrome. He reports being diagnosed with this genetic disorder shortly after birth and has since undergone multiple surgeries to treat the associated complications. On physical examination, he is noted to have a large head circumference, macroglossia, and abdominal distension. Further evaluation reveals an enlarged liver and kidneys, as well as a history of hypoglycemia in infancy. The patient is currently being monitored for the development of Wilms tumor, a common complication of Beckwith-Wiedemann syndrome.",1,1,1,1,2,3
Darier disease,No change,"A5-year-old girl presents to the clinic with a history of rough, itchy, and scaly patches on her skin. Her parents report that the patches started appearing on her scalp and face, and have now spread to her trunk and extremities. On examination, the patient has multiple hyperkeratotic papules and plaques on her forehead, scalp, and cheeks. The skin lesions are greasy and have a distinct odor. The nails are also affected, with longitudinal ridges and V-shaped notches. A diagnosis of Darier disease is suspected based on the characteristic clinical features, and a skin biopsy is performed to confirm the diagnosis. The patient is started on topical and systemic therapies to manage her symptoms and prevent complications.",1,1,1,1,2,3,"A 42-year-old male presents to the dermatologist with a long-standing history of persistent, itchy, and painful skin lesions. The patient reports that the lesions first appeared in his teenage years and have been progressively worsening over time. Upon physical examination, there were numerous hyperkeratotic, crusted papules and plaques on his scalp, face, chest, and back. The nails were also affected, with V-shaped notches and longitudinal ridges. The patient reported a family history of similar skin lesions. A skin biopsy was performed, which revealed characteristic suprabasal clefting and acantholysis, confirming the diagnosis of Darier disease. The patient was advised to avoid sun exposure and given topical and systemic treatments to control his symptoms.",1,1,1,1,2,3
Muenke syndrome,No change,"A 5-year-old boy is brought to the pediatrician by his parents due to concerns about his head shape. The child was born with a slightly misshapen head, but over time it has become more pronounced. On physical examination, the pediatrician notes that the child has a prominent forehead, a flattened back of the head, and a ridge along the top of the skull. The child also has mild hearing loss and has been diagnosed with a heart murmur. After conducting genetic testing, the child is diagnosed with Muenke syndrome, a genetic disorder that affects the growth and development of the skull. The pediatrician explains to the parents that the child may need surgery to correct the shape of his head, and that he will need to be closely monitored for any other health issues related to the syndrome. The pediatrician also recommends that the child undergo regular hearing tests and cardiac evaluations to ensure that any potential complications are caught early and treated appropriately.",1,1,1,1,2,3,"John is a 32-year-old male who presents to his primary care physician with complaints of headaches and sleep disturbances. John reports that he has always had an unusually shaped head and has difficulty finding hats that fit properly. On physical examination, the physician notes that John's head is brachycephalic with a prominent forehead and flattened occiput. Additionally, John has a midline ridge along the top of his skull. Further evaluation reveals that John has Muenke syndrome, a genetic disorder characterized by the premature fusion of the cranial sutures. This results in the unique head shape seen in John as well as potential complications such as increased intracranial pressure, developmental delays, and hearing loss. John is referred to a specialist for further management and monitoring of his condition.",1,1,1,1,2,3
Pseudoachondroplasia,No change,"A 6-year-old male child is brought to the clinic by his parents, who are concerned about their son's short stature and difficulty walking. The child was born at term with no complications, but his growth has been significantly delayed since early childhood. On physical examination, the child's height is below the 3rd percentile, and his arm span is greater than his height. The child has a characteristic waddling gait and bowed legs. Joint hypermobility is also noted, particularly in the knees and elbows. X-rays of the child's long bones reveal irregularities in the growth plates, consistent with pseudoachondroplasia. Further genetic testing confirms the diagnosis. The child is referred to a pediatric orthopedist for management of his joint problems and monitoring of his growth.",0,0,1,0,0,1,"A 35-year-old male presents to the clinic with complaints of joint pain and stiffness. He reports a history of short stature and disproportionate limb length. He has difficulty with physical activities and experiences frequent joint dislocations. On physical examination, his height is 4 feet 2 inches and he has a shortened upper and lower extremity. He has joint laxity and tenderness on palpation. X-rays show joint space narrowing and irregularities in the epiphyses. Genetic testing confirms a diagnosis of Pseudoachondroplasia.",1,1,1,1,2,3
Multiple endocrine neoplasia type 1,Change in presentation related to age,"A 10-year-old boy presents to the pediatric endocrine clinic with a family history of multiple endocrine tumors. The child's father and grandmother both have a history of pituitary tumors, parathyroid adenomas, and pancreatic neuroendocrine tumors. On physical examination, the child is found to have a small subcutaneous lipoma on his arm and an elevated calcium level on bloodwork. Genetic testing confirms a diagnosis of multiple endocrine neoplasia type 1 (MEN1). The child is referred to an endocrine surgeon for management of his parathyroid and pancreatic tumors and will require lifelong monitoring for the development of additional tumors",0,0,1,0,0,1,"A 45-year-old male patient presents to the endocrinologist with a history of recurrent kidney stones, hypercalcemia, and peptic ulcer disease. He also reports a family history of pituitary tumors and pancreatic cancer. Physical examination reveals multiple facial angiofibromas, lipomas, and café-au-lait spots. Lab workup shows elevated levels of parathyroid hormone, gastrin, and insulin-like growth factor 1. Genetic testing confirms a diagnosis of multiple endocrine neoplasia type 1 (MEN1). The patient is referred for further evaluation and management of his endocrine tumors, including regular monitoring for the development of additional neoplasms.",1,1,1,1,2,3
Dravet syndrome,No change,"A 3-year-old boy is brought to the emergency room with a history of recurrent seizures and fever. His parents report that he has a history of developmental delay, episodes of prolonged febrile seizures, and atypical absences. On examination, the child is febrile, with a temperature of 38.5°C, and has generalized hypotonia. His electroencephalogram (EEG) shows generalized spike-and-wave discharges, and an MRI scan of his brain is unremarkable. Based on the clinical presentation and EEG findings, the child is diagnosed with Dravet syndrome, a rare and severe form of epilepsy that typically starts in infancy or early childhood. Dravet syndrome is characterized by prolonged seizures, developmental delay, and cognitive impairment, and is often refractory to treatment with antiepileptic drugs. The child is started on a combination of antiepileptic medications, and his parents are counseled on the need for close monitoring and management of his seizures.",1,1,1,1,2,3,"A 26-year-old male presents with a history of seizures since childhood. The seizures are typically triggered by fever, stress, or excitement, and are characterized by sudden loss of consciousness, convulsions, and post-ictal confusion. The patient has been diagnosed with Dravet syndrome, a rare genetic disorder that causes severe epilepsy and developmental delay. On examination, the patient has poor coordination, ataxia, and cognitive impairment. He is also at increased risk for sudden unexpected death in epilepsy (SUDEP) and requires close monitoring and antiepileptic medication management.",1,1,1,1,2,3
Systemic primary carnitine deficiency,Change in presentation related to age,"A 5-year-old male child presents to the emergency department with lethargy, weakness, and vomiting. On examination, the child is found to be hypotonic with muscle weakness and has an enlarged liver. The child's blood work shows hypoglycemia and elevated creatine kinase levels. The child's medical history is significant for recurrent episodes of hypoglycemia, lethargy, and weakness. The child is diagnosed with Systemic primary carnitine deficiency, a rare genetic disorder that affects the transport of fatty acids into the mitochondria, leading to impaired energy production. Treatment with L-carnitine is initiated, and the child's symptoms improve significantly. Genetic testing confirms the diagnosis, and the child is referred to a metabolic specialist for long-term management.",1,1,1,1,2,3,"A 32-year-old male presents to the emergency department with complaints of severe muscle weakness and fatigue for the past several weeks. He reports difficulty walking and has experienced several falls. He also describes episodes of hypoglycemia and nausea. On physical examination, he appears malnourished and has muscle wasting. Laboratory testing reveals a low serum carnitine level and an elevated creatine kinase level. He is diagnosed with systemic primary carnitine deficiency, a rare genetic disorder that impairs the body's ability to transport fatty acids into the mitochondria for energy production. Treatment with high doses of oral carnitine supplementation is initiated, resulting in significant improvement in his symptoms and quality of life.",0,0,1,0,0,1
Prader-Willi syndrome,Change: presentation/management,"A 5-year-old boy presents to the pediatrician with excessive weight gain and insatiable hunger. On examination, he is found to have almond-shaped eyes, a thin upper lip, and a small head circumference. He also has hypotonia and delayed motor development. Further evaluation reveals a deletion on chromosome 15, confirming the diagnosis of Prader-Willi syndrome. The parents report that the child has a history of feeding difficulties, including poor suckling and failure to thrive in infancy. They also note behavioral issues such as temper tantrums and obsessive-compulsive behaviors. The pediatrician recommends a multidisciplinary approach to manage the child's obesity, including a low-calorie diet and increased physical activity. They also refer the child to a geneticist and a developmental pediatrician for ongoing evaluation and management of the child's complex medical needs.",1,1,1,1,2,3,"Mr. Smith is a 35-year-old male with a history of Prader-Willi syndrome (PWS) who presents to the clinic with complaints of excessive eating and weight gain. He reports feeling constantly hungry and has gained 10 pounds in the last month despite being on a strict diet. On physical examination, he has mild hypotonia and central obesity with a BMI of 38. His blood work reveals hyperphagia, hyperinsulinemia, and elevated fasting glucose levels consistent with PWS. He is referred to a nutritionist and endocrinologist for management of his weight and metabolic abnormalities.",0,1,1,0,1,2
Kabuki syndrome,No change,"A 4-year-old boy is brought to the pediatrician with developmental delay and distinct facial features. On examination, the child has arched eyebrows with long eyelashes, a flat nasal bridge, and a wide mouth with a prominent upper lip. The child also has short stature and joint hypermobility. The pediatrician suspects Kabuki syndrome and orders genetic testing to confirm the diagnosis. Further evaluation reveals hearing loss and a heart murmur. The child is referred to a multidisciplinary team for management of the various medical and developmental issues associated with Kabuki syndrome.",1,1,1,1,2,3,"Mr. X is a 28-year-old man with Kabuki syndrome who presents to the clinic with complaints of recurrent infections. He was diagnosed with Kabuki syndrome in childhood due to his distinctive facial features, including long eyelashes, arched eyebrows, and a flattened nasal tip. Mr. X has a history of hearing loss, heart defects, and developmental delay. On physical examination, he has joint hypermobility and short stature. Laboratory tests reveal low immunoglobulin levels, consistent with an increased susceptibility to infections. Mr. X is referred to an immunologist for further evaluation and management of his recurrent infections.",1,1,1,1,2,3
Hypochondroplasia,No change,"A 4-year-old boy is brought to the pediatrician by his parents with concerns about his short stature. The child was born at term with a birth weight of 7 lbs 4 oz, and has been growing at a slower rate than his peers. He is currently at the 10th percentile for height and weight. On physical exam, the child has a disproportionate short stature, with short arms and legs and a normal-sized trunk. His head circumference is average for his age. There is mild bowing of his legs and his fingers appear short and stubby. The child has no other significant medical history, and his developmental milestones are within normal limits. Based on these findings, a diagnosis of hypochondroplasia is suspected.",1,1,1,1,2,3,"Mrs. Smith is a 35-year-old woman with a history of hypochondroplasia. She presents to the clinic with complaints of lower back pain and difficulty walking. On physical examination, her height is 4 feet 5 inches, and her arm span is greater than her height. She has a short neck with limited range of motion, a protuberant abdomen, and mild lumbar lordosis. Her lower extremities are short and bowed, and she has a waddling gait. X-rays reveal a narrowed interpedicular distance and a small spinal canal. MRI shows mild spinal stenosis at the L4-L5 level. Mrs. Smith is diagnosed with lumbar spinal stenosis and referred to a neurosurgeon for further evaluation and management.",0,0,1,0,0,1
Hemophilia B,No change,"A 7-year-old boy presents to the emergency department with a swollen and painful right knee. He reports that he fell while playing basketball earlier in the day. The child has a past medical history of Hemophilia B, and his family reports that he has been experiencing frequent bleeding episodes. Physical examination reveals a large hemarthrosis in the right knee with limited range of motion. Laboratory tests confirm a low factor IX level. The child is diagnosed with a bleeding episode related to Hemophilia B and is started on factor IX replacement therapy. He is advised to avoid contact sports and activities that may increase the risk of bleeding. The child is referred to a Hemophilia treatment center for ongoing management and monitoring of his condition.",1,1,1,1,2,3,"John is a 35-year-old man with a history of Hemophilia B. He presents to the emergency department with severe pain and swelling in his right knee. On examination, there is tenderness, warmth, and a large effusion in the knee joint. His factor IX level is found to be significantly low. Imaging shows evidence of joint damage and bleeding. John is started on factor IX replacement therapy and pain control. He is referred to a hematology specialist for long-term management of his Hemophilia B.",1,0,1,0,1,2
Saethre-Chotzen syndrome,No change,"A 6-year-old girl presents to the pediatrician with concerns about her facial and head shape. On physical exam, she has a high forehead, small and wide-set eyes, a beaked nose, and mild facial asymmetry. Her head circumference is at the 99th percentile, and she has fusion of some of the bones in her skull. She also has shortened fingers and toes, with a small pinky finger that curves inward. Based on these findings, the pediatrician suspects Saethre-Chotzen syndrome and refers the patient to a geneticist for further evaluation and genetic testing.",1,1,1,1,2,3,"A 28-year-old female presents to the clinic with complaints of headaches and visual disturbances. On examination, she has a prominent forehead, low-set ears, and a small jaw. Her fingers are short and stubby, and her toes are abnormally fused. She also has a broad, flat nose and widely spaced eyes. These clinical features suggest a diagnosis of Saethre-Chotzen syndrome, a rare genetic disorder that affects craniofacial development. The patient is referred to a geneticist for further evaluation and management.",1,0,1,0,1,2
Glycogen storage disease due to acid maltase deficiency,Change: presentation/management,"A 4-year-old boy presents to the pediatrician with progressive muscle weakness, fatigue, and difficulty walking. His parents report that he has been experiencing these symptoms for the past year, and they have noticed that he has become more clumsy and has difficulty climbing stairs. The child has a history of recurrent episodes of hypoglycemia and has had several hospital admissions for unexplained episodes of vomiting and lethargy. Physical examination reveals muscle wasting and weakness, particularly in the proximal muscles. Blood tests show elevated creatine kinase levels and evidence of liver dysfunction. Based on these findings, the child is diagnosed with Glycogen storage disease due to acid maltase deficiency.",0,0,1,0,0,1,"A 35-year-old male presents to the clinic with a history of weakness, fatigue, and muscle pain. He reports difficulty climbing stairs and feels easily fatigued after moderate activity. On physical examination, he appears thin with muscle wasting. His creatine kinase levels are elevated, and a muscle biopsy reveals the presence of vacuoles filled with glycogen. Further genetic testing confirms a diagnosis of Glycogen storage disease due to acid maltase deficiency. The patient is started on enzyme replacement therapy, and his symptoms improve gradually over time.",1,1,1,1,2,3
Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,Only adulthood,"A 6-year-old boy was brought to the hospital by his parents with complaints of frequent headaches and difficulty in walking. On examination, the child had mild to moderate motor weakness in both legs, with a spastic gait. Neurological examination revealed evidence of cognitive impairment, including difficulty with memory and attention. Magnetic resonance imaging (MRI) of the brain showed multiple areas of leukoencephalopathy, with subcortical infarcts. Genetic testing revealed a mutation in the NOTCH3 gene, confirming a diagnosis of Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy (CADASIL). The child was started on symptomatic treatment and referred for genetic counseling for the family.",0,0,1,0,0,1,"A 56-year-old male presents with a history of recurrent episodes of stroke-like symptoms including weakness on his right side, difficulty with speech and coordination, and cognitive decline. Neurological examination revealed bilateral pyramidal signs and dysarthria. MRI showed multiple subcortical infarcts and extensive white matter changes consistent with Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy (CADASIL). Genetic testing confirmed the diagnosis. The patient had a family history of similar symptoms and was advised to undergo regular monitoring and management of stroke risk factors.",1,1,1,1,2,3
Multiple endocrine neoplasia type 2,Change: presentation/management,"A 7-year-old boy presents to the pediatric clinic with a family history of thyroid cancer and pheochromocytoma. He has a palpable thyroid nodule and episodes of hypertension and sweating. Genetic testing confirms the diagnosis of Multiple endocrine neoplasia type 2 (MEN2). Further evaluation reveals multiple endocrine tumors, including medullary thyroid carcinoma and bilateral pheochromocytomas. The patient undergoes surgical resection of the tumors and is started on lifelong thyroid hormone replacement therapy. Close monitoring for recurrence and development of additional tumors is necessary due to the high risk of malignancy associated with MEN2.",1,1,1,1,2,3,A 35-year-old woman presented to the endocrine clinic with a history of pheochromocytoma and medullary thyroid carcinoma. She also reported a family history of similar tumors. Physical examination revealed palpable thyroid nodules and elevated serum calcitonin levels. Genetic testing confirmed the diagnosis of Multiple endocrine neoplasia type 2 (MEN 2). The patient was referred for thyroidectomy and adrenalectomy to prevent the development of further tumors. Regular surveillance for the recurrence of medullary thyroid carcinoma and pheochromocytoma was also recommended.,1,1,1,1,2,3
Leigh syndrome,No change,"A 4-year-old male child presented with progressive weakness, regression of developmental milestones, and seizures. His parents had noticed a decline in his motor abilities, and he had lost his ability to walk independently. On physical examination, he had a weak cry, hypotonia, and nystagmus. His brain MRI revealed symmetrical hyperintensities in the basal ganglia and brainstem, consistent with Leigh syndrome. Blood tests showed elevated lactate levels. Genetic testing confirmed a mutation in the mitochondrial DNA. The child was started on a regimen of thiamine, riboflavin, and coenzyme Q10, and was referred to a neurologist for further management.",1,1,1,1,2,3,"A 32-year-old male presents to the clinic with a long-standing history of progressive neurological symptoms, including muscle weakness, poor coordination, and difficulty speaking. He also reports experiencing frequent headaches and episodes of nausea and vomiting. On examination, the patient has bilateral optic atrophy, generalized hypotonia, and spasticity in his lower limbs. MRI imaging shows bilateral symmetrical lesions in the basal ganglia and brainstem. Genetic testing confirms a diagnosis of Leigh syndrome, a rare inherited disorder that affects mitochondrial function and energy production in the body. The patient is started on supportive therapy, including thiamine, riboflavin, and other vitamins, but unfortunately, the prognosis is poor, and the patient's condition continues to decline over time.",0,1,1,0,1,2
3-methylcrotonyl-CoA carboxylase deficiency,No change,"A 6-month-old male infant is brought to the pediatrician's office by his parents because of vomiting, poor feeding, and lethargy. The infant is the product of an uneventful pregnancy and delivery and has no significant past medical history. On physical examination, the infant appears irritable and is dehydrated. Blood tests reveal elevated levels of 3-hydroxyisovaleric acid, 3-methylcrotonylglycine, and 3-methylglutaconic acid. Based on these findings, the infant is diagnosed with 3-methylcrotonyl-CoA carboxylase deficiency. The parents are counseled about the need for a special diet and the importance of preventing fasting to avoid metabolic crises. The infant is started on a low-protein diet supplemented with a special formula and is referred to a metabolic specialist for further management.",1,1,1,1,2,3,"A 28-year-old male presents to the emergency department with severe abdominal pain, nausea, and vomiting for the past 24 hours. He reports a history of recurrent episodes of abdominal pain and vomiting, especially after consuming high-protein meals. On physical examination, he appears lethargic and has mild dehydration. Laboratory tests reveal elevated levels of plasma ammonia and 3-hydroxyisovaleric acid. Further workup confirms a diagnosis of 3-methylcrotonyl-CoA carboxylase deficiency, an autosomal recessive metabolic disorder characterized by defective leucine metabolism. The patient is started on a low-protein diet, carnitine supplementation, and intravenous fluids to manage his symptoms and prevent further metabolic decompensation.",0,1,1,0,1,2
Oculocutaneous albinism type 2,No change,"A 5-year-old child presents to the pediatrician with a complaint of poor vision and light sensitivity. On physical examination, the child is noted to have very pale skin and hair, with blue irises and nystagmus. The child is diagnosed with Oculocutaneous albinism type 2, which is confirmed by genetic testing. The pediatrician educates the parents on the importance of sun protection and regular ophthalmologic follow-up to monitor for potential vision loss. The child is referred to a pediatric ophthalmologist for further evaluation and management.",1,1,1,1,2,3,"A 35-year-old male presents to the dermatology clinic with a lifelong history of fair skin, white hair, and light-colored eyes. He reports experiencing severe sunburns with minimal sun exposure and has a family history of similar symptoms. On examination, the patient has hypopigmented skin with numerous freckles and light-colored hair. He also has nystagmus and decreased visual acuity. The clinical features suggest a diagnosis of Oculocutaneous albinism type 2, a genetic disorder that affects melanin production and causes hypopigmentation of the skin, hair, and eyes. The patient is advised to use sun protection measures and undergo regular ophthalmologic examinations to monitor for potential vision impairment.",1,1,1,1,2,3
Pseudoxanthoma elasticum,No change,"A 5-year-old child presents to the dermatology clinic with yellowish papules on the neck, axilla, and groin. The papules are discrete and have a cobblestone appearance. The child has a history of hypermobility of joints and recurrent joint dislocations. The ophthalmological examination reveals angioid streaks in the retina. The clinical presentation is consistent with Pseudoxanthoma elasticum, a rare genetic disorder that affects the elastic fibers in the skin, eyes, and blood vessels. The diagnosis is confirmed by genetic testing. The child is referred to a multidisciplinary team for management and monitoring of potential complications such as arterial stiffening, gastrointestinal bleeding, and retinal detachment.",1,1,1,1,2,3,"A 35-year-old female presents with yellowish papules on her neck, axilla, and groin for the past 5 years. She reports decreased vision in her left eye and a history of gastrointestinal bleeding. On examination, she has multiple small yellowish papules on her skin and a cobblestone appearance on the back of her neck. Fundoscopy reveals angioid streaks in both eyes. Skin biopsy confirms the diagnosis of pseudoxanthoma elasticum. The patient is referred for genetic counseling and advised to undergo routine ophthalmologic and gastrointestinal evaluations.",1,1,1,1,2,3
Leber congenital amaurosis,No change,"A 5-year-old boy is brought to the ophthalmologist with complaints of poor vision since birth. The parents also report that the child has difficulty seeing in low light conditions. The child has no other significant medical history or family history of eye diseases. On examination, the child's visual acuity is severely impaired, and the fundus shows evidence of retinal degeneration, including pale optic discs and attenuated retinal vessels. Electroretinography (ERG) confirms the diagnosis of Leber congenital amaurosis. The ophthalmologist discusses the prognosis and recommends genetic testing for the child and his family members.",1,1,1,1,2,3,"Ms. X is a 30-year-old female who presents with a history of progressive visual impairment since childhood. She reports difficulty seeing in dimly lit environments and has noticed a loss of peripheral vision. Her medical history is significant for a diagnosis of Leber congenital amaurosis (LCA) at the age of 5. On examination, her visual acuity is severely impaired, with hand motion vision in both eyes. Fundus examination reveals a pale optic disc and attenuated retinal vessels. Electroretinogram (ERG) shows severely reduced or absent responses. Genetic testing confirms a homozygous mutation in the RPE65 gene. Ms. X is counseled regarding the progressive nature of the disease and the lack of effective treatments. She is advised to maintain regular follow-up with her ophthalmologist and to use low-vision aids to optimize her visual function.",1,1,1,1,2,3
Gitelman syndrome,No change,"A 10-year-old boy presents with chronic muscle weakness, fatigue, and intermittent muscle cramps. He has a history of frequent urination and excessive thirst. On physical examination, he is found to have low blood pressure and a low heart rate. Laboratory tests reveal hypokalemia, metabolic alkalosis, and low magnesium levels. Genetic testing confirms a diagnosis of Gitelman syndrome. The child is started on potassium and magnesium supplements, and his symptoms gradually improve. Follow-up visits show normalization of his electrolyte levels and resolution of his symptoms.",1,1,1,1,2,3,"A 28-year-old male presents with recurrent episodes of muscle weakness, cramping, and fatigue. He also reports intermittent episodes of abdominal pain and nausea. On examination, his blood pressure is low, and he has mild hypokalemia and hypomagnesemia. His serum electrolytes show a metabolic alkalosis. The patient has a history of frequent episodes of tetany and carpopedal spasm. He reports no family history of renal disorders. Based on his clinical findings, the patient is diagnosed with Gitelman syndrome, a rare autosomal recessive renal tubular disorder that is characterized by a defect in the thiazide-sensitive sodium-chloride co-transporter in the distal convoluted tubule. The patient is started on potassium and magnesium supplements, along with a low-sodium diet. Regular monitoring of his serum electrolytes and renal function is planned to prevent complications such as renal impairment and arrhythmias.",1,1,1,1,2,3
Oculocutaneous albinism type 1,No change,"A 5-year-old boy presents to the clinic with a history of pale skin, white hair, and light blue eyes. His parents report that he has always had poor vision and struggles to see in bright sunlight. The child has a history of frequent sunburns despite using sunscreen regularly. Examination reveals nystagmus and reduced visual acuity. His skin lacks pigmentation and has multiple freckles. The child is diagnosed with Oculocutaneous albinism type 1, a rare genetic disorder that affects the production of melanin, leading to hypopigmentation of the skin, hair, and eyes. The child is advised to avoid excessive sun exposure and to wear protective clothing and sunglasses to minimize the risk of skin cancer and vision problems.",1,1,1,1,2,3,"A 28-year-old male presents to the ophthalmology clinic with a history of photophobia and reduced visual acuity since childhood. He reports a family history of albinism and fair skin with frequent sunburns. On examination, he has white hair, pale skin, and iris transillumination defects. His best-corrected visual acuity is 20/100 in both eyes, with nystagmus and strabismus noted. Fundus examination reveals hypopigmentation of the retina and foveal hypoplasia. A diagnosis of oculocutaneous albinism type 1 is made based on the clinical features. The patient is counseled on sun protection measures, the importance of regular ophthalmic follow-up, and low vision aids.",1,1,1,1,2,3
Cone rod dystrophy,No change,"A 6-year-old boy presents to the ophthalmology clinic with complaints of poor vision and difficulty seeing in low light. His parents report that he has had these symptoms for the past year. On examination, the child has reduced visual acuity and color vision. Fundus examination reveals a pale optic disc, attenuated blood vessels, and macular atrophy. Electroretinography (ERG) shows reduced cone and rod function. Based on these findings, the child is diagnosed with cone rod dystrophy. Further genetic testing is recommended to identify the underlying cause of the condition.",1,1,1,1,2,3,"A 35-year-old male presents with complaints of progressive vision loss in both eyes for the past 5 years. He has difficulty seeing in dim light and his peripheral vision is gradually decreasing. The patient reports a family history of similar vision problems. On examination, visual acuity is reduced to 20/200 in both eyes. Fundoscopy shows macular atrophy with thinning of the retinal vessels. Electroretinography (ERG) reveals reduced cone and rod responses, consistent with cone-rod dystrophy. The patient is referred to a genetic counselor for further evaluation and management.",1,1,1,1,2,3
Citrullinemia type I,No change,"A 6-month-old male infant presents with poor feeding, vomiting, lethargy, and seizures. The infant was born at term without any complications. Upon physical examination, the infant appears jaundiced and has hepatomegaly. Laboratory investigations reveal elevated serum ammonia levels and hyperammonemia. The infant is diagnosed with Citrullinemia type I, an autosomal recessive disorder of the urea cycle. Treatment with a low-protein diet and medications to reduce ammonia levels is initiated. The child is referred to a metabolic specialist for long-term management.",1,1,1,1,2,3,"A 32-year-old male presents to the emergency department with confusion and lethargy. He has a history of recurrent episodes of vomiting, abdominal pain, and seizures. On physical examination, he appears jaundiced with hepatosplenomegaly. His blood tests reveal hyperammonemia, elevated liver enzymes, and low serum citrulline levels. A diagnosis of Citrullinemia type I is made. The patient is started on intravenous fluids, medications to reduce ammonia levels, and a low-protein diet. He is referred to a metabolic specialist for long-term management.",0,1,1,0,1,2
